STATE,COUNTY,PRECINCT,DEM,REP
FL,Citrus,100,458,955
FL,Citrus,101,494,1109
FL,Citrus,102,195,317
FL,Citrus,104,370,660
FL,Citrus,105,391,841
FL,Citrus,107,504,1040
FL,Citrus,108,576,1463
FL,Citrus,109,587,1488
FL,Citrus,110,1174,2174
FL,Citrus,200,463,1012
FL,Citrus,201,602,1236
FL,Citrus,202,1068,2674
FL,Citrus,203,555,989
FL,Citrus,204,485,1273
FL,Citrus,205,363,499
FL,Citrus,206,435,540
FL,Citrus,208,337,682
FL,Citrus,300,380,761
FL,Citrus,301,1050,2148
FL,Citrus,302,882,1800
FL,Citrus,305,891,1456
FL,Citrus,307,1642,3576
FL,Citrus,400,358,819
FL,Citrus,401,207,392
FL,Citrus,402,463,788
FL,Citrus,403,921,1516
FL,Citrus,404,520,1074
FL,Citrus,405,1119,2218
FL,Citrus,406,439,969
FL,Citrus,407,479,799
FL,Citrus,408,480,996
FL,Sumter,101,425,1159
FL,Sumter,102,801,2447
FL,Sumter,103,268,789
FL,Sumter,104,595,1802
FL,Sumter,105,1011,2676
FL,Sumter,106,726,2113
FL,Sumter,107,578,1743
FL,Sumter,108,708,1884
FL,Sumter,109,569,1562
FL,Sumter,110,533,1699
FL,Sumter,111,1045,3258
FL,Sumter,112,324,849
FL,Sumter,113,264,276
FL,Sumter,114,480,987
FL,Sumter,115,546,539
FL,Sumter,116,266,488
FL,Sumter,117,237,334
FL,Sumter,118,400,973
FL,Sumter,119,133,334
FL,Sumter,120,357,703
FL,Sumter,121,235,662
FL,Sumter,122,188,441
FL,Sumter,123,317,474
FL,Sumter,124,88,294
FL,Sumter,125,675,1914
FL,Sumter,126,831,2474
FL,Sumter,127,758,1968
FL,Sumter,128,811,2107
FL,Sumter,129,581,1793
FL,Hernando,1,222,575
FL,Hernando,2,227,731
FL,Hernando,4,793,1546
FL,Hernando,6,537,1554
FL,Hernando,8,523,1210
FL,Hernando,9,308,980
FL,Hernando,10,650,1533
FL,Hernando,12,437,935
FL,Hernando,13,253,484
FL,Hernando,14,950,2085
FL,Hernando,15,765,1186
FL,Hernando,17,551,1328
FL,Hernando,18,315,738
FL,Hernando,19,1093,2127
FL,Hernando,21,549,953
FL,Hernando,23,699,1132
FL,Hernando,24,1164,2473
FL,Hernando,25,700,1241
FL,Hernando,27,848,1608
FL,Hernando,29,618,1033
FL,Hernando,30,380,988
FL,Hernando,31,622,1347
FL,Hernando,33,271,527
FL,Hernando,34,842,1318
FL,Hernando,35,337,733
FL,Hernando,36,314,690
FL,Hernando,37,244,662
FL,Hernando,38,585,1159
FL,Hernando,39,403,563
FL,Hernando,40,883,1546
FL,Hernando,42,431,1020
FL,Hernando,44,979,1794
FL,Hernando,46,325,697
FL,Hernando,47,644,1639
FL,Hernando,48,675,1148
FL,Hernando,53,145,367
FL,Hernando,54,425,923
FL,Marion,1,175,349
FL,Marion,2,277,20
FL,Marion,3,428,735
FL,Marion,4,718,998
FL,Marion,5,318,873
FL,Marion,6,404,765
FL,Marion,7,366,596
FL,Marion,8,326,325
FL,Marion,9,700,79
FL,Marion,10,453,73
FL,Marion,11,250,116
FL,Marion,12,404,612
FL,Marion,13,100,136
FL,Marion,14,427,1124
FL,Marion,15,372,790
FL,Marion,16,328,838
FL,Marion,17,296,549
FL,Marion,18,536,792
FL,Marion,19,201,79
FL,Marion,20,285,380
FL,Marion,40,418,765
FL,Marion,1520,141,360
FL,Marion,1540,253,610
FL,Marion,1550,408,1087
FL,Marion,1560,183,458
FL,Marion,1570,174,333
FL,Marion,1580,252,504
FL,Marion,1590,349,677
FL,Marion,1600,441,786
FL,Marion,1610,400,913
FL,Marion,2540,208,283
FL,Marion,2560,225,298
FL,Marion,2590,224,164
FL,Marion,2620,117,108
FL,Marion,2631,29,77
FL,Marion,3500,167,320
FL,Marion,3510,86,135
FL,Marion,3520,280,626
FL,Marion,3530,562,1518
FL,Marion,3540,384,996
FL,Marion,3550,413,915
FL,Marion,3551,373,892
FL,Marion,3552,327,965
FL,Marion,3553,387,1195
FL,Marion,3560,197,374
FL,Marion,3570,338,775
FL,Marion,3580,483,937
FL,Marion,3590,406,633
FL,Marion,3600,264,512
FL,Marion,3610,160,223
FL,Marion,3620,409,916
FL,Marion,3621,306,891
FL,Marion,3622,399,925
FL,Marion,3630,338,634
FL,Marion,3640,245,598
FL,Marion,3650,308,565
FL,Marion,3660,345,502
FL,Marion,3670,1209,893
FL,Marion,3680,292,287
FL,Marion,3690,684,855
FL,Marion,3700,544,340
FL,Marion,3710,479,774
FL,Marion,3720,186,348
FL,Marion,3721,31,23
FL,Marion,3730,370,578
FL,Marion,3740,271,625
FL,Marion,3750,250,623
FL,Marion,3760,523,1243
FL,Marion,3770,475,875
FL,Marion,3780,452,970
FL,Marion,3790,260,564
FL,Marion,3800,320,615
FL,Marion,3810,315,648
FL,Marion,3820,219,494
FL,Marion,3830,242,387
FL,Marion,3840,353,854
FL,Marion,4530,243,438
FL,Marion,4540,161,260
FL,Marion,4550,414,237
FL,Marion,4560,595,322
FL,Marion,4570,424,820
FL,Marion,4580,647,393
FL,Marion,4590,767,380
FL,Marion,4610,557,911
FL,Marion,4620,660,1209
FL,Marion,4630,254,353
FL,Marion,4640,573,817
FL,Marion,4660,477,811
FL,Marion,4670,561,766
FL,Marion,4680,313,578
FL,Marion,4721,1,8
FL,Marion,4730,177,331
FL,Marion,4740,223,415
FL,Marion,4750,375,634
FL,Marion,4760,208,297
FL,Marion,4770,311,975
FL,Marion,4781,6,5
FL,Lake,2,76,224
FL,Lake,11,389,690
FL,Lake,49,401,855
FL,Lake,53,126,139
FL,Lake,65,592,1157
FL,Lake,72,275,414
FL,Lake,73,271,757
FL,Lake,85,255,471
FL,Lake,96,271,567
